word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
qué|Angela|heroes_s3_2_spa_aligned.segment3.word1|0.0|0.07|0.07|1.29|0.0|NA|¿||0.0|69.0|0.0|2.2017
has|Angela|heroes_s3_2_spa_aligned.segment3.word2|0.07|0.24|0.17|0.0|0.0|NA|||177.0|69.0|-0.9173|2.2017
hecho|Angela|heroes_s3_2_spa_aligned.segment3.word3|0.24|0.46|0.22|0.0|0.0|NA|||172.0|67.0|-1.4134|1.6924
con|Angela|heroes_s3_2_spa_aligned.segment3.word4|0.46|0.59|0.13|0.0|0.0|NA|||0.0|66.0|0.0|1.4321
peter|Angela|heroes_s3_2_spa_aligned.segment3.word5|0.59|1.0|0.41|0.0|0.45|NA||?|100.0|63.0|-10.8023|0.6267
