word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
me|Hiro|heroes_s3_2_spa_aligned.segment10.word1|0.0|0.19|0.19|1.14|0.0|NA|||188.0|67.0|-1.983|1.2608
has|Hiro|heroes_s3_2_spa_aligned.segment10.word2|0.19|0.27|0.08|0.0|0.0|NA|||0.0|66.0|0.0|1.0004
robado|Hiro|heroes_s3_2_spa_aligned.segment10.word3|0.27|0.67|0.4|0.0|0.0|NA|||206.0|66.0|-0.4001|1.0004
una|Hiro|heroes_s3_2_spa_aligned.segment10.word4|0.67|0.88|0.21|0.0|0.0|NA|||154.0|68.0|-5.4367|1.5173
cosa|Hiro|heroes_s3_2_spa_aligned.segment10.word5|0.88|1.22|0.34|0.0|1.84|NA||.|161.0|60.0|-4.6671|-0.6496
