word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
está|Peter|heroes_s3_2_spa_aligned.segment4.word1|0.0|0.2|0.2|0.45|0.0|NA|||580.0|72.0|20.4496|3.1437
en|Peter|heroes_s3_2_spa_aligned.segment4.word2|0.2|0.28|0.08|0.0|0.0|NA|||93.0|70.0|-11.2394|2.656
un|Peter|heroes_s3_2_spa_aligned.segment4.word3|0.28|0.41|0.13|0.0|0.0|NA|||93.0|69.0|-11.2394|2.4069
lugar|Peter|heroes_s3_2_spa_aligned.segment4.word4|0.41|0.66|0.25|0.0|0.0|NA|||0.0|65.0|0.0|1.373
seguro|Peter|heroes_s3_2_spa_aligned.segment4.word5|0.66|1.1|0.44|0.0|0.32|NA||.|0.0|62.0|0.0|0.5549
