word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
nathan|Robert Malden|heroes_s3_2_spa_aligned.segment8.word1|0.0|0.26|0.26|0.16|0.0|NA|||91.0|64.0|-7.9076|1.2385
petrelli|Robert Malden|heroes_s3_2_spa_aligned.segment8.word2|0.26|1.08|0.82|0.0|3.06|NA||.|123.0|62.0|-2.6909|0.6889
